bin,value
bin_626,1385.000000
bin_627,1233.000000
bin_628,1582.000000
bin_629,1360.000000
bin_630,1034.000000
bin_631,1379.000000
bin_632,1343.000000
bin_633,1368.000000
bin_634,1196.000000
bin_635,1414.000000
bin_636,1143.000000
bin_637,1246.000000
bin_638,1089.000000
bin_639,1192.000000
bin_640,1200.000000
bin_641,1182.000000
bin_642,1117.000000
bin_643,1136.000000
bin_644,1039.000000
bin_645,1195.000000
bin_646,1082.000000
bin_647,1282.000000
bin_648,1159.000000
bin_649,1055.000000
bin_650,1248.000000
bin_651,999.000000
bin_652,1213.000000
bin_653,1336.000000
bin_654,1055.000000
bin_655,1257.000000
bin_656,962.000000
bin_657,1028.000000
bin_658,1042.000000
bin_659,1011.000000
bin_660,1147.000000
bin_661,910.000000
bin_662,955.000000
bin_663,950.000000
bin_664,938.000000
bin_665,963.000000
bin_666,936.000000
bin_667,983.000000
bin_668,1001.000000
bin_669,886.000000
bin_670,1097.000000
bin_671,950.000000
bin_672,888.000000
bin_673,834.000000
bin_674,1013.000000
bin_675,876.000000
bin_676,800.000000
bin_677,877.000000
bin_678,844.000000
bin_679,830.000000
bin_680,918.000000
bin_681,693.000000
bin_682,831.000000
bin_683,742.000000
bin_684,795.000000
bin_685,788.000000
bin_686,814.000000
bin_687,849.000000
bin_688,859.000000
bin_689,795.000000
bin_690,799.000000
bin_691,803.000000
bin_692,734.000000
bin_693,741.000000
bin_694,715.000000
bin_695,678.000000
bin_696,690.000000
bin_697,618.000000
bin_698,614.000000
bin_699,616.000000
bin_700,644.000000
bin_701,528.000000
bin_702,536.000000
bin_703,565.000000
bin_704,594.000000
bin_705,564.000000
bin_706,684.000000
bin_707,507.000000
bin_708,654.000000
bin_709,512.000000
bin_710,620.000000
bin_711,550.000000
bin_712,604.000000
bin_713,573.000000
bin_714,516.000000
bin_715,590.000000
bin_716,493.000000
bin_717,410.000000
bin_718,374.000000
bin_719,427.000000
bin_720,370.000000
bin_721,377.000000
bin_722,349.000000
bin_723,339.000000
bin_724,371.000000
bin_725,380.000000
bin_726,396.000000
bin_727,348.000000
bin_728,344.000000
bin_729,416.000000
bin_730,398.000000
bin_731,448.000000
bin_732,352.000000
bin_733,457.000000
bin_734,389.000000
bin_735,440.000000
bin_736,456.000000
bin_737,387.000000
bin_738,336.000000
bin_739,394.000000
bin_740,326.000000
bin_741,358.000000
bin_742,460.000000
bin_743,382.000000
bin_744,425.000000
bin_745,428.000000
bin_746,420.000000
bin_747,383.000000
bin_748,330.000000
bin_749,474.000000
bin_750,369.000000
bin_751,448.000000
bin_752,384.000000
bin_753,393.000000
bin_754,451.000000
bin_755,415.000000
bin_756,388.000000
bin_757,461.000000
bin_758,453.000000
bin_759,590.000000
bin_760,564.000000
bin_761,643.000000
bin_762,454.000000
bin_763,400.000000
bin_764,436.000000
bin_765,521.000000
bin_766,2498.000000
bin_767,0.000000
